founder_location,education_level,funding_access,gender,patent_novelty,research_support,market_demand,competitor_density,team_experience,feasibility_label
0,0,0,1,20.0,56.0,77.0,23.0,63.0,0
1,0,1,1,70.0,99.0,69.0,57.0,58.0,1
1,0,0,0,24.0,19.0,46.0,95.0,59.0,0
1,0,0,0,32.0,87.0,69.0,90.0,26.0,0
0,0,0,1,38.0,58.0,36.0,77.0,89.0,0
0,0,1,0,31.0,50.0,86.0,54.0,44.0,0
0,0,1,1,67.0,92.0,37.0,28.0,78.0,1
1,0,0,0,44.0,39.0,85.0,73.0,32.0,0
1,1,0,1,76.0,14.0,60.0,75.0,81.0,1
1,1,0,1,54.0,80.0,88.0,88.0,27.0,1
0,1,0,0,95.0,92.0,87.0,75.0,64.0,1
1,1,0,1,24.0,40.0,41.0,84.0,37.0,0
1,1,0,0,41.0,61.0,77.0,54.0,79.0,1
0,0,0,1,96.0,97.0,60.0,96.0,79.0,0
0,0,0,1,76.0,32.0,92.0,83.0,21.0,0
0,0,0,1,66.0,57.0,68.0,76.0,85.0,0
0,1,1,1,73.0,49.0,49.0,78.0,33.0,0
1,1,0,1,22.0,15.0,77.0,12.0,67.0,0
1,0,0,0,72.0,47.0,83.0,47.0,75.0,0
0,1,1,0,50.0,50.0,58.0,86.0,31.0,0
1,0,0,1,88.0,36.0,77.0,51.0,74.0,1
0,1,0,1,52.0,84.0,85.0,92.0,47.0,0
0,0,0,1,91.0,78.0,46.0,49.0,23.0,0
0,0,0,1,69.0,66.0,38.0,59.0,55.0,0
1,0,0,1,35.0,26.0,63.0,44.0,69.0,0
1,0,0,1,95.0,80.0,74.0,33.0,22.0,1
0,0,1,1,96.0,56.0,38.0,97.0,20.0,0
1,0,0,1,58.0,88.0,36.0,26.0,36.0,0
1,1,0,1,65.0,22.0,45.0,49.0,90.0,1
0,0,0,0,66.0,20.0,48.0,83.0,81.0,0
1,0,0,0,63.0,99.0,35.0,75.0,67.0,0
0,1,0,0,28.0,95.0,40.0,53.0,81.0,0
0,1,1,0,69.0,33.0,90.0,32.0,88.0,1
1,0,0,1,96.0,82.0,71.0,15.0,38.0,1
1,0,0,1,79.0,13.0,42.0,75.0,53.0,0
1,0,0,1,34.0,55.0,41.0,30.0,68.0,0
0,0,0,1,55.0,27.0,49.0,44.0,99.0,0
0,1,1,1,82.0,52.0,79.0,38.0,66.0,1
1,0,0,0,88.0,89.0,65.0,16.0,69.0,1
1,0,0,0,99.0,42.0,98.0,62.0,45.0,0
0,1,0,0,60.0,19.0,66.0,46.0,75.0,0
1,0,1,1,93.0,82.0,41.0,32.0,97.0,1
0,0,0,0,43.0,68.0,69.0,17.0,33.0,0
1,0,0,0,68.0,40.0,83.0,85.0,97.0,0
0,1,1,1,37.0,37.0,31.0,57.0,44.0,0
1,0,1,1,26.0,69.0,79.0,19.0,23.0,1
0,1,0,0,23.0,12.0,70.0,88.0,98.0,0
1,0,0,1,88.0,64.0,74.0,33.0,51.0,1
1,0,0,1,79.0,23.0,38.0,99.0,97.0,0
0,1,0,1,74.0,67.0,91.0,56.0,84.0,1
1,1,0,1,35.0,98.0,76.0,62.0,80.0,1
1,1,0,0,48.0,24.0,34.0,48.0,39.0,0
1,1,0,0,42.0,11.0,30.0,76.0,93.0,0
1,1,0,1,33.0,33.0,73.0,75.0,29.0,0
1,0,0,1,98.0,87.0,51.0,15.0,53.0,1
1,0,1,1,68.0,73.0,67.0,30.0,80.0,1
0,1,0,1,52.0,80.0,48.0,82.0,46.0,0
0,0,0,1,44.0,33.0,60.0,83.0,59.0,0
0,1,0,1,40.0,36.0,96.0,45.0,84.0,0
0,1,1,1,36.0,46.0,71.0,12.0,52.0,1
